"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IYFI8VZY","presentation","2023","Mizrachi, E.; Baker, A.","LZ Analysis Workshop Python Tutorial","","","","","https://gitlab.com/luxzeplin/users/emiz/Kr83m_tutorial/-/tree/master/python-tutorial","","2023-06-29","2023-07-09 21:42:15","2023-07-09 21:53:56","","","","","","","","","","","","","","Lead, South Dakota","Python","","Oral","","","","","","","","","mypresentation; selectedworks","","","","","Baker, A.","","","","","","","","","","","","","","","","","","","","","","","","","","LZ Analysis Workshop","","","","","","","","","","","","","","","",""
"GU4V8I3Z","presentation","2019","Mizrachi, Eli; Xu, Jingke; Pereverzev, Sergey; Bernstein, Adam","Addressing Electron Backgrounds in a Dual-Phase Liquid Xenon Time Projection Chamber","","","","","","","2019-07-30","2023-01-06 04:32:43","2023-01-27 01:16:38","","","","","","","","","","","","","","Livermore, California","","","Poster","","","","","Poster","","","","mypresentation; selectedworks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LLNL Student Summer Research Symposium","","","","","","","","","","","","","","","",""
"X77RMS2V","journalArticle","2016","Lo, Anthony; Haslinger, Philipp; Mizrachi, Eli; Anderegg, Loic; Müller, Holger; Hohensee, Michael; Goryachev, Maxim; Tobar, Michael E.","Acoustic tests of Lorentz symmetry using quartz oscillators","Physical Review X","","2160-3308","10.1103/PhysRevX.6.011018","http://arxiv.org/abs/1412.2142","We propose and demonstrate a test of Lorentz symmetry based on new, compact, and reliable quartz oscillator technology. Violations of Lorentz invariance in the matter and photon-sector of the standard model extension (SME) generate anisotropies in particles' inertial masses and the elastic constants, giving rise to measurable anisotopies in the resonance frequencies of acoustic modes in solids. A first realization of such a ""phonon-sector"" test of Lorentz symmetry using room-temperature SC-cut crystals provides a limit of $\tilde c_Q^{\rm n}=(-1.8 \pm 2.2)\times 10^{-14}$\,GeV on the most weakly constrained neutron-sector $c-$coefficient of the SME. Future experiments with cryogenic oscillators promise significant improvements in accuracy, opening up the potential for improved limits on Lorentz violation in the neutron, proton, electron and photon sector.","2016-02-24","2023-01-02 21:38:10","2023-01-11 03:34:55","2023-01-02 21:38:10","011018","","1","6","","Phys. Rev. X","","","","","","","","","","","","","arXiv.org","","arXiv:1412.2142 [gr-qc, physics:hep-th]","","J:\My Drive\Sources\Zotero\Lo et al. - 2016 - Acoustic tests of Lorentz symmetry using quartz os.pdf","","selectedworks; mypublication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V6AB6Q8D","journalArticle","2022","Pershing, Teal; Naim, Daniel; Lenardo, Brian; Xu, Jingke; Kingston, James; Mizrachi, Eli; Mozin, Vladimir; Kerr, Phillip; Pereverzev, Sergey; Bernstein, Adam; Tripathi, Mani","Calibrating the scintillation and ionization responses of xenon recoils for high-energy dark matter searches","Physical Review D","","2470-0010, 2470-0029","10.1103/PhysRevD.106.052013","http://arxiv.org/abs/2207.08326","Liquid xenon-based direct detection dark matter experiments have recently expanded their searches to include high-energy nuclear recoil events as motivated by effective field theory dark matter and inelastic dark matter interaction models, but few xenon recoil calibrations above 100 keV are currently available. In this work, we measured the scintillation and ionization yields of xenon recoils up to 426 keV. The experiment uses 14.1 MeV neutrons to scatter off xenon in a compact liquid xenon time projection chamber and produce quasi-monoenergetic xenon recoils between 39 keV and 426 keV. We report the xenon recoil responses and their electric field-dependence for recoil energies up to 306 keV; due to the low event statistics and the relatively mild field dependence, the yield values at higher energies are reported as the average of xenon responses for electric fields between 0.2-2.0 kV/cm. This result will enable xenon-based dark matter experiments to significantly increase their high energy dark matter sensitivities by including energy regions that were previously inaccessible due to lack of calibrations.","2022-09-30","2023-01-02 21:56:25","2023-01-11 03:34:51","2023-01-02 21:56:25","052013","","5","106","","Phys. Rev. D","","","","","","","","","","","","","arXiv.org","","arXiv:2207.08326 [hep-ex, physics:physics]","","G:\My Drive\Sources\Zotero\Pershing et al. - 2022 - Calibrating the scintillation and ionization respo.pdf","","selectedworks; mypublication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7DYLDZAZ","journalArticle","2022","Pershing, Teal; Xu, Jingke; Bernard, Ethan; Kingston, James; Mizrachi, Eli; Brodsky, Jason; Razeto, Alessandro; Kachru, Priyanka; Bernstein, Adam; Pantic, Emilija; Jovanovic, Igor","Performance of Hamamatsu VUV4 SiPMs for detecting liquid argon scintillation","Journal of Instrumentation","","1748-0221","10.1088/1748-0221/17/04/P04017","http://arxiv.org/abs/2202.02977","Detection of light signals is crucial to a wide range of particle detectors. In particular, efficient detection of vacuum ultraviolet (VUV) light will provide new opportunities for some novel detectors currently being developed, but is technically challenging. In this article, we characterized the performance of Hamamatsu VUV4 silicon photomultipliers (SiPMs) for detecting VUV argon scintillation light without wavelength shifting. Using a customized cryogenic amplifier design, we operated two models of VUV4 SiPMs inside liquid argon and thoroughly examined their direct sensitivities to liquid argon scintillation. In addition to describing their cryogenic performance, we measured a photon detection efficiency of $14.7^{+1.1}_{-2.4}$% and $17.2^{+1.6}_{-3.0}$% at 128 nm for these two VUV4 models for operation at 4 V of overvoltage, with the main uncertainty arising from the SiPM reflectivity for VUV light.","2022-04-01","2023-01-02 21:54:23","2023-01-11 03:34:49","2023-01-02 21:54:23","P04017","","04","17","","J. Inst.","","","","","","","","","","","","","arXiv.org","","arXiv:2202.02977 [physics]","","G:\My Drive\Sources\Zotero\Pershing et al. - 2022 - Performance of Hamamatsu VUV4 SiPMs for detecting .pdf","","selectedworks; mypublication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDXUQ97A","presentation","2021","Mizrachi, Eli; Bowden, Nathaniel; Jovanovic, Igor; Bernard, Ethan; Pereverzev, Sergey","Development of a Xenon-Doped Dual-Phase Argon Time Projection Chamber","","","","","https://meetings.aps.org/Meeting/APR21/Session/H20.6","Utilizing a ppm level of xenon dopant in the gas region of a dual-phase argon time projection chamber (TPC) presents the enticing prospect of enhanced electroluminescence with xenon, and low-mass particle detection with argon. However, at low temperatures xenon is known to remain in the liquid bulk due to its low vapor pressure, and it is liable to deposit on surfaces when exposed to cold components in the gas phase. This further complicates circulation, which must maintain a stable mixture and composition without disturbing equilibrium between the liquid and gas phases. These details introduce novel technical challenges, as successfully boosting electroluminescence requires at least 10ppm of xenon in the gas phase. Nevertheless, the possibility of realizing the benefits from both argon and xenon has compelled the development of CoHerent Ionization Limits in Liquid Argon and Xenon (CHILLAX), a new xenon-doped, dual-phase argon TPC. This talk will examine the specially tailored systems used in CHILLAX that are expected to avoid xenon freezeout, including direct detector cooling, and gas-phase circulation. Recent developments with CHILLAX, as well as the relevant technical background behind cryogenic mixtures of xenon and argon will also be discussed. *Prepared by LLNL under Contract DE-AC52-07NA27344. The SCGSR program is administered by ORISE under Contract DE-SC0014664.","2021-04-18","2022-08-30 00:09:55","2023-01-11 03:32:43","2022-08-30 00:09:55","","","","","","","","","","","","","","","","Oral","","","","","","","","notion://www.notion.so/Mizrachi-et-al-2021-59551196d997454f8e57a9517a06adf9","notion; Source; LAr Doping; mypresentation; selectedworks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","APS April Meeting","","","","","","","","","","","","","","","",""
"PI5HSHA2","presentation","2015","Mizrachi, E.; Manalaysay, A.; Tripathi, M.","Electric Field Sumilation of a Liquid Xenon Purity Monitor","","","","","","","2015-08-20","2023-01-06 05:19:27","2023-01-11 03:32:43","","","","","","","","","","","","","","Davis, California","","","Oral","","","","","","","","","mypresentation; selectedworks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UC Davis LEADS Scholar Summer Student Symposium","","","","","","","","","","","","","","","",""
"9MNUYW66","presentation","2015","Mizrachi, E.; Lo, Anthony; Haslinger, Philipp; Anderegg, Loic; Mueller, Holger","Testing Lorentz Symmetry Using Rotating Crystal Oscillators","","","","","","","2015-02-07","2023-01-06 05:28:32","2023-01-11 03:32:43","","","","","","","","","","","","","","Irvine, California","","","Poster","","","","","","","","","mypresentation; selectedworks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NSF CAMP Statewide Student Research Symposium","","","","","","","","","","","","","","","",""
"VCY7P3DA","presentation","2015","Mizrachi, E.; Lo, Anthony; Haslinger, Philipp; Anderegg, Loic; Mueller, Holger","Testing Lorentz Symmetry Using Rotating Crystal Oscillators","","","","","","","2015-03-21","2023-01-06 05:22:51","2023-01-11 03:32:43","","","","","","","","","","","","","","Merced, California","","","Poster","","","","","","","","","mypresentation; selectedworks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UC LEADS Student Research Symposium","","","","","","","","","","","","","","","",""
"EBSVA4AY","presentation","2016","Mizrachi, E.; Kamdin, K.; Morad, J. A.; Sorensen, P.","Absolute Measurement of the Electron Extraction Efficiency of Liquid Xenon","","","","","","Weakly interacting massive particles (WIMPs) are promising candidates in the search for dark matter. WIMP interactions in a dual phase liquid xenon time projection chamber (TPC) are theorized to produce photons and ionized electrons, the latter of which are extracted out of the liquid into a gaseous region of xenon. Proportional scintillation from the electrons occurs as they pass the liquid-gas interface, and this additional light is used to verify that a WIMP- xenon interaction has taken place. The electron extraction efficiency (EEE) is crucial for ensuring that an accurate signal is received. Consistently inefficient extraction results in leftover charges in the detector, which may scintillate or accumulate on detector materials. This behavior is detrimental to experiments which demand record breaking levels of sensitivity. Moreover, previous liquid xenon EEE measurements have mostly been relative. Using a, dual phase liquid xenon TPC at Lawrence Berkeley National Laboratory, we aim to provide an absolute EEE measurement instead.","2016-03-12","2023-01-06 04:42:58","2023-01-11 03:32:33","","","","","","","","","","","","","","Davis, California","","","Poster","","","","","","","","","mypresentation; selectedworks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UC LEADS Student Research symposium","","","","","","","","","","","","","","","",""
